AGNO;RBD;DGV_RBD;NOM_RBD;P_JURIDICA;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;LATITUD;LONGITUD;CONVENIO_PIE;PACE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;ENS_10;ENS_11;MAT_ENS_1;MAT_ENS_2;MAT_ENS_3;MAT_ENS_4;MAT_ENS_5;MAT_ENS_6;MAT_ENS_7;MAT_ENS_8;MAT_TOTAL;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL;ESPE_01;ESPE_02;ESPE_03;ESPE_04;ESPE_05;ESPE_06;ESPE_07;ESPE_08;ESPE_09;ESPE_10;ESPE_11
2025;24873;8;COLEGIO  EPULLAY;1;13;RM;131;13122;PEÑALOLÉN;133;SANTIAGO ORIENTE;4;3;0;-33,470592;-70,52376;0;0;10;110;310;0;0;0;0;0;0;0;0;51;344;0;0;196;0;0;0;591;1;1;2; ;MAS DE $100.000;MAS DE $100.000;0;0;0;0;0;0;0;0;0;0;0
2025;24874;6;COLEGIO SAN BARTOLOME DE NOS;1;13;RM;134;13403;CALERA DE TANGO;132;SANTIAGO SUR;4;3;1;-33,631631;-70,75168;0;0;10;110;310;0;0;0;0;0;0;0;0;4;106;0;0;48;0;0;0;158;1;1;2; ;MAS DE $100.000;MAS DE $100.000;0;0;0;0;0;0;0;0;0;0;0
2025;24875;4;ESCUELA  ESPECIAL PART.PUDAHUEL NORTE;1;13;RM;131;13124;PUDAHUEL;134;SANTIAGO PONIENTE;3;2;0;-33,42809;-70,76107;0;0;212;214;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;0;0;104;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24876;2;ESC.BASICA PROF.AURELIA ROJAS BURGOS;1;13;RM;131;13112;LA PINTANA;136;CORDILLERA;6;5;0;-33,56050798;-70,61999307;1;0;10;110;363;0;0;0;0;0;0;0;0;61;343;0;0;0;86;0;0;490;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24877;0;ALFA 2000;9;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24878;9;CENTRO EDUCACIONAL FERNANDO DE ARAGON;1;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;-33,58122181;-70,5973062;0;0;10;110;410;610;0;0;0;0;0;0;0;163;1207;0;0;0;0;1424;0;2794;1;1;1; ;GRATUITO;GRATUITO;41002;41005;61003;64008;0;0;0;0;0;0;0
2025;24879;7;ESCUELA ESPECIAL PART.ARNOLD GESELL II;1;13;RM;131;13112;LA PINTANA;136;CORDILLERA;3;2;0;-33,59271748;-70,63067665;1;0;110;214;0;0;0;0;0;0;0;0;0;0;213;0;57;0;0;0;0;270;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24880;0;ESCUELA ESPECIAL GUENIPILLAN;1;13;RM;131;13111;LA GRANJA;132;SANTIAGO SUR;3;2;0;-33,53915;-70,63033;0;0;212;214;0;0;0;0;0;0;0;0;0;0;0;0;141;0;0;0;0;141;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24881;9;ESCUELA BASICA ESCRITOR PABLO NERUDA;1;13;RM;131;13125;QUILICURA;137;SANTIAGO NORTE;3;2;0;-33,36935402;-70,72910117;1;0;110;0;0;0;0;0;0;0;0;0;0;0;262;0;0;0;0;0;0;262;1;1;2; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24882;7;CENTRO DE TRASTORNOS DE LA COMUNICACION;1;13;RM;131;13107;HUECHURABA;137;SANTIAGO NORTE;3;2;0;-33,367626;-70,63626;0;0;214;0;0;0;0;0;0;0;0;0;0;0;0;0;159;0;0;0;0;159;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24883;5;ESCUELA BÁSICA MUNICIPAL SAN LUIS;1;13;RM;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;6;5;0;-33,51233642;-70,78513792;1;0;10;110;0;0;0;0;0;0;0;0;0;43;297;0;0;0;0;0;0;340;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24884;3;COLEGIO ALCAZAR DE LAS CONDES;1;13;RM;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;4;3;0;-33,406228;-70,58062;0;0;10;110;310;0;0;0;0;0;0;0;0;140;751;0;0;412;0;0;0;1303;1;1;7;LAICA ORIENTACIÓN CATÓLICA;MAS DE $100.000;MAS DE $100.000;0;0;0;0;0;0;0;0;0;0;0
2025;24885;1;COLEGIO KING SCHOOL CORDILLERA;1;13;RM;131;13112;LA PINTANA;136;CORDILLERA;3;2;0;-33,62186772;-70,62803369;1;0;10;110;310;410;510;610;0;0;0;0;0;40;773;0;0;324;0;305;0;1442;1;1;7;ADVENTISTA;GRATUITO;GRATUITO;41005;58035;61003;64008;0;0;0;0;0;0;0
2025;24888;6;ESCUELA ESPECIAL JEAN PIAGET ANEXO;1;13;RM;131;13110;LA FLORIDA;136;CORDILLERA;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24889;4;LICEO BICENTENARIO MONSENOR ENRIQUE ALVEAR;1;13;RM;131;13124;PUDAHUEL;134;SANTIAGO PONIENTE;6;5;0;-33,46331704;-70,75335402;1;1;10;110;310;0;0;0;0;0;0;0;0;73;539;0;0;407;0;0;0;1019;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24890;8;ESCUELA BASICA AMANCAY;1;13;RM;131;13110;LA FLORIDA;136;CORDILLERA;4;3;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24891;6;COLEGIO THE SOUTHLAND SCHOOL;1;13;RM;131;13132;VITACURA;133;SANTIAGO ORIENTE;4;3;0;-33,38342364;-70,54981401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2; ;MAS DE $100.000;MAS DE $100.000;0;0;0;0;0;0;0;0;0;0;0
2025;24892;4;SANTA CRUZ COLLEGE;1;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;-33,61452835;-70,56963486;1;0;10;110;310;410;0;0;0;0;0;0;0;52;493;0;0;144;0;42;0;731;1;1;2; ;GRATUITO;GRATUITO;41005;0;0;0;0;0;0;0;0;0;0
2025;24893;2;ESCUELA NOVOMAR;1;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;-33,61240008;-70,5900562;1;0;10;110;212;214;0;0;0;0;0;0;0;10;181;0;108;0;0;0;0;299;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24894;0;COLEGIO ARAUCARIA CORDILLERA;1;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0;-33,58321897;-70,57256798;0;0;10;110;310;0;0;0;0;0;0;0;0;39;309;0;0;175;0;0;0;523;1;1;1; ;GRATUITO;$25.001 A $50.000;0;0;0;0;0;0;0;0;0;0;0
2025;24895;9;ESCUELA BASICA VILLA DECLHWEITH;9;13;RM;132;13201;PUENTE ALTO;136;CORDILLERA;3;2;0; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9; ;SIN INFORMACION;SIN INFORMACION;0;0;0;0;0;0;0;0;0;0;0
2025;24896;7;INSTITUTO DE TABANCURA DE PROVIDENCIA;1;13;RM;131;13123;PROVIDENCIA;133;SANTIAGO ORIENTE;4;3;0;-33,438;-70,60701;0;0;363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;0;0;147;1;1;1; ;$25.001 A $50.000;$50.001 A $100.000;0;0;0;0;0;0;0;0;0;0;0
2025;24897;5;COLEGIO FARMLAND SCHOOL;1;13;RM;135;13503;CURACAVÍ;135;TALAGANTE;4;3;0;-33,40785;-71,13367;0;0;110;310;0;0;0;0;0;0;0;0;0;0;110;0;0;73;0;0;0;183;1;1;1; ;MAS DE $100.000;MAS DE $100.000;0;0;0;0;0;0;0;0;0;0;0
2025;24898;3;COLEGIO SAN FRANCISCO MISIONERO;1;13;RM;131;13119;MAIPÚ;134;SANTIAGO PONIENTE;3;2;0;-33,56459378;-70,786607;0;0;110;310;0;0;0;0;0;0;0;0;0;0;244;0;0;244;0;0;0;488;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
2025;24900;9;LICEO HUMBERTO DIAZ CASANUEVA;1;13;RM;133;13301;COLINA;137;SANTIAGO NORTE;1;1;0;-33,19964;-70,671684;1;0;165;363;0;0;0;0;0;0;0;0;0;0;0;90;0;0;60;0;0;150;1;1;1; ;GRATUITO;GRATUITO;0;0;0;0;0;0;0;0;0;0;0
